[2026-05-24 02:30:10] TO: receiver_email@gmail.com | SUBJECT: Automated Professional Update | STATUS: FAILED | ERROR: [Errno 2] No such file or directory: 'credentials.json'
[2026-05-24 02:31:10] TO: receiver_email@gmail.com | SUBJECT: Automated Professional Update | STATUS: FAILED | ERROR: [Errno 2] No such file or directory: 'credentials.json'
[2026-05-24 02:32:00] TO: receiver_email@gmail.com | SUBJECT: Automated Professional Update | STATUS: FAILED | ERROR: [Errno 2] No such file or directory: 'credentials.json'
[2026-05-24 02:32:10] TO: receiver_email@gmail.com | SUBJECT: Automated Professional Update | STATUS: FAILED | ERROR: [Errno 2] No such file or directory: 'credentials.json'
[2026-05-24 02:33:10] TO: receiver_email@gmail.com | SUBJECT: Automated Professional Update | STATUS: FAILED | ERROR: [Errno 2] No such file or directory: 'credentials.json'
[2026-05-24 03:05:00] TO: receiver_email@gmail.com | SUBJECT: Automated Professional Update | STATUS: FAILED | ERROR: 'InstalledAppFlow' object has no attribute 'run_console'
[2026-05-24 03:10:24] TO: receiver_email@gmail.com | SUBJECT: Automated Professional Update | STATUS: FAILED | ERROR: <HttpError 403 when requesting https://gmail.googleapis.com/gmail/v1/users/me/messages/send?alt=json returned "Gmail API has not been used in project 224643892082 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/gmail.googleapis.com/overview?project=224643892082 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry.". Details: "[{'message': 'Gmail API has not been used in project 224643892082 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/gmail.googleapis.com/overview?project=224643892082 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry.', 'domain': 'usageLimits', 'reason': 'accessNotConfigured', 'extendedHelp': 'https://console.developers.google.com'}]">
[2026-05-24 03:15:01] TO: maryamnaqeeb36@gmail.com | SUBJECT: Automated Professional Update | STATUS: FAILED | ERROR: <HttpError 403 when requesting https://gmail.googleapis.com/gmail/v1/users/me/messages/send?alt=json returned "Gmail API has not been used in project 224643892082 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/gmail.googleapis.com/overview?project=224643892082 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry.". Details: "[{'message': 'Gmail API has not been used in project 224643892082 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/gmail.googleapis.com/overview?project=224643892082 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry.', 'domain': 'usageLimits', 'reason': 'accessNotConfigured', 'extendedHelp': 'https://console.developers.google.com'}]">
[2026-05-30 21:00:16] TO: maryamnaqeeb36@gmail.com | SUBJECT: Automated Professional Update | STATUS: FAILED | ERROR: <HttpError 403 when requesting https://gmail.googleapis.com/gmail/v1/users/me/messages/send?alt=json returned "Gmail API has not been used in project 224643892082 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/gmail.googleapis.com/overview?project=224643892082 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry.". Details: "[{'message': 'Gmail API has not been used in project 224643892082 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/gmail.googleapis.com/overview?project=224643892082 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry.', 'domain': 'usageLimits', 'reason': 'accessNotConfigured', 'extendedHelp': 'https://console.developers.google.com'}]">
[2026-05-30 21:04:30] TO: maryamnaqeeb36@gmail.com | SUBJECT: Automated Professional Update | STATUS: FAILED | ERROR: <HttpError 403 when requesting https://gmail.googleapis.com/gmail/v1/users/me/messages/send?alt=json returned "Gmail API has not been used in project 224643892082 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/gmail.googleapis.com/overview?project=224643892082 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry.". Details: "[{'message': 'Gmail API has not been used in project 224643892082 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/gmail.googleapis.com/overview?project=224643892082 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry.', 'domain': 'usageLimits', 'reason': 'accessNotConfigured', 'extendedHelp': 'https://console.developers.google.com'}]">
[2026-05-30 21:08:12] TO: maryamnaqeeb36@gmail.com | SUBJECT: Automated Professional Update | STATUS: FAILED | ERROR: <HttpError 403 when requesting https://gmail.googleapis.com/gmail/v1/users/me/messages/send?alt=json returned "Gmail API has not been used in project 224643892082 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/gmail.googleapis.com/overview?project=224643892082 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry.". Details: "[{'message': 'Gmail API has not been used in project 224643892082 before or it is disabled. Enable it by visiting https://console.developers.google.com/apis/api/gmail.googleapis.com/overview?project=224643892082 then retry. If you enabled this API recently, wait a few minutes for the action to propagate to our systems and retry.', 'domain': 'usageLimits', 'reason': 'accessNotConfigured', 'extendedHelp': 'https://console.developers.google.com'}]">
